tag,adm_tech,dip_tech,mil_tech,technology_tier,embraced_institutions,treasury,inflation,stability,prestige,corruption,legitimacy_or_tradition,manpower,sailors,army_quality_tier,navy_quality_tier,economic_tier,infrastructure_tier,source,verification_notes
AFG,5,5,5,1,,48,0,-1,0,5,50,30000,0,1,0,1,1,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
HON,7,7,7,3,,25,0,0,0,0,60,6000,1200,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
HUN,8,8,8,4,,78,0,0,0,0,60,26250,0,4,0,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
ICE,8,8,8,4,,25,0,0,0,0,60,3000,1050,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
IDN,7,7,7,3,,798,0,0,0,0,60,298500,27600,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
INI,7,7,7,3,,2000,0,0,0,0,60,859500,12900,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
IRA,7,7,7,3,,379,0,0,0,0,60,138000,2400,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
IRE,8,8,8,4,,80,0,0,0,0,60,26250,3150,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
IRQ,7,7,7,3,,151,0,-1,0,5,50,57750,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
ISR,8,8,8,4,,64,0,0,0,0,60,22500,1050,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
ITA,8,8,8,4,,693,0,0,0,0,60,198000,11900,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
IVO,6,6,6,2,,25,0,0,0,0,60,7500,500,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
JAI,8,8,8,4,,25,0,0,0,0,60,1500,350,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
JAP,9,9,9,5,,1124,0,0,0,0,60,330750,16400,5,5,5,5,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
JMC,7,7,7,3,,25,0,0,0,0,60,2250,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
JOR,7,7,7,3,,25,0,0,0,0,60,5250,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KEY,6,6,6,2,,36,0,0,0,0,60,14250,1000,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KHA,8,8,8,4,,76,0,0,0,0,60,35250,0,4,0,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KHM,7,7,7,3,,47,0,0,0,0,60,14250,600,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KIR,7,7,7,3,,25,0,0,0,0,60,2250,900,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KUW,7,7,7,3,,31,0,0,0,0,60,11250,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KYR,7,7,7,3,,25,0,0,0,0,60,8250,0,3,0,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
KZK,7,7,7,3,,126,0,0,0,0,60,52500,0,3,0,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LAO,7,7,7,3,,45,0,0,0,0,60,15750,0,3,0,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LAP,7,7,7,3,,248,0,0,0,0,60,93750,2700,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LBR,5,5,5,1,,25,0,-1,0,5,50,1500,400,1,1,1,1,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LBY,7,7,7,3,,32,0,0,0,0,60,12750,2100,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LEB,7,7,7,3,,26,0,0,0,0,60,9750,600,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LES,6,6,6,2,,25,0,0,0,0,60,1000,0,2,0,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LIT,7,7,7,3,,32,0,0,0,0,60,12000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LTV,7,7,7,3,,25,0,0,0,0,60,5250,900,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
LUX,8,8,8,4,,25,0,0,0,0,60,6000,0,4,0,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MAC,8,8,8,4,,25,0,0,0,0,60,6000,0,4,0,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MAL,6,6,6,2,,72,0,0,0,0,60,19500,0,2,0,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MDG,6,6,6,2,,41,0,0,0,0,60,17250,2750,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MDV,7,7,7,3,,25,0,0,0,0,60,2250,0,3,0,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MEX,7,7,7,3,,608,0,0,0,0,60,207000,11700,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MIC,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MLA,7,7,7,3,,224,0,0,0,0,60,87750,4500,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MNM,7,7,7,3,,158,0,0,0,0,60,54000,2700,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MOR,7,7,7,3,,103,0,0,0,0,60,27000,4200,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MRS,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MRT,7,7,7,3,,25,0,0,0,0,60,6750,600,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MTU,6,6,6,2,,25,0,0,0,0,60,2250,250,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MWI,6,6,6,2,,25,0,0,0,0,60,6000,0,2,0,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
MZM,6,6,6,2,,42,0,0,0,0,60,16500,2000,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NAU,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NCR,7,7,7,3,,25,0,0,0,0,60,4500,1200,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NED,9,9,9,5,,241,0,0,0,0,60,60000,4400,5,5,5,5,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NGR,6,6,6,2,,39,0,0,0,0,60,12750,0,2,0,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NIG,6,6,6,2,,274,0,0,0,0,60,117750,1250,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NMB,6,6,6,2,,25,0,0,0,0,60,6000,500,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NOK,7,7,7,3,,25,0,0,0,0,60,9750,2100,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NOR,9,9,9,5,,131,0,0,0,0,60,25500,4000,5,5,5,5,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NPL,7,7,7,3,,30,0,0,0,0,60,9750,0,3,0,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
NZL,9,9,9,5,,73,0,0,0,0,60,17250,6000,5,5,5,5,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
OMA,7,7,7,3,,50,0,0,0,0,60,18750,1800,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PAK,7,7,7,3,,264,0,0,0,0,60,104250,900,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PEU,7,7,7,3,,121,0,0,0,0,60,38250,2700,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PHI,7,7,7,3,,212,0,0,0,0,60,82500,6600,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PLS,7,7,7,3,,25,0,0,0,0,60,2250,0,3,0,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PLU,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PNG,7,7,7,3,,25,0,0,0,0,60,4500,1800,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PNM,7,7,7,3,,27,0,0,0,0,60,10500,1200,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
POL,8,8,8,4,,338,0,0,0,0,60,101250,1750,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
POR,8,8,8,4,,103,0,0,0,0,60,28500,3150,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
PRG,8,8,8,4,,25,0,0,0,0,60,7500,0,4,0,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
QTR,7,7,7,3,,31,0,0,0,0,60,11250,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
RMN,8,8,8,4,,148,0,0,0,0,60,47250,350,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
RSA,6,6,6,2,,156,0,0,0,0,60,72750,1750,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
RUS,8,8,8,4,,1126,0,0,0,0,60,371250,13650,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
RWA,6,6,6,2,,25,0,-1,0,5,50,2250,0,2,0,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SAM,7,7,7,3,,25,0,0,0,0,60,1500,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SAU,7,7,7,3,,307,0,0,0,0,60,105000,2100,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SEY,6,6,6,2,,25,0,0,0,0,60,1000,250,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SGA,9,9,9,5,,45,0,0,0,0,60,15000,400,5,5,5,5,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SGL,6,6,6,2,,25,0,0,0,0,60,5250,500,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SIA,7,7,7,3,,303,0,0,0,0,60,114000,2400,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SKN,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SKO,9,9,9,5,,346,0,0,0,0,60,109500,4000,5,5,5,5,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SLM,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SLU,7,7,7,3,,25,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SOM,5,5,5,1,,44,0,-1,0,5,50,21000,3000,1,1,1,1,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SPA,8,8,8,4,,505,0,0,0,0,60,159000,9450,4,4,4,4,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SRA,6,6,6,2,,25,0,0,0,0,60,2250,500,2,2,2,2,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
SRL,7,7,7,3,,63,0,0,0,0,60,25500,1500,3,3,3,3,generated:country-and-province-2000-foundation,Development-derived economy rebalanced for the EU4 2K province model; manual historical verification pending.
